"","event_smas_history_id","match","TOTAL.DISSOLVED.SOLIDS","SPECIFIC.CONDUCTANCE","event_smas_sample_date","US_L3CODE","US_L3NAME","NA_L3CODE","NA_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","STATE_NAME","EPA_REGION","L3_KEY","L2_KEY","L1_KEY","latitude","longitude"
"44","02-CHAD-2.2","02-CHAD-2.2_2018-06-13",194,345,2018-06-13,"61","Erie Drift Plain","8.1.10","Erie Drift Plain","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"61  Erie Drift Plain","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",42.11245,-79.20303
"45","02-CHAD-2.2","02-CHAD-2.2_2018-08-14",190,346.6,2018-08-14,"61","Erie Drift Plain","8.1.10","Erie Drift Plain","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"61  Erie Drift Plain","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",42.11245,-79.20303
"46","02-CHAD-2.2","02-CHAD-2.2_2018-10-17",176,229.3,2018-10-17,"61","Erie Drift Plain","8.1.10","Erie Drift Plain","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"61  Erie Drift Plain","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",42.11245,-79.20303
"47","02-CHAD-2.2","02-CHAD-2.2_2019-04-16",143,277.3,2019-04-16,"61","Erie Drift Plain","8.1.10","Erie Drift Plain","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"61  Erie Drift Plain","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",42.11245,-79.20303
"48","02-CHAD-2.2","02-CHAD-2.2_2019-06-12",154,259.6,2019-06-12,"61","Erie Drift Plain","8.1.10","Erie Drift Plain","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"61  Erie Drift Plain","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",42.11245,-79.20303
"49","02-CHAD-2.2","02-CHAD-2.2_2019-08-13",192,289,2019-08-13,"61","Erie Drift Plain","8.1.10","Erie Drift Plain","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"61  Erie Drift Plain","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",42.11245,-79.20303
"50","02-CHAD-2.2","02-CHAD-2.2_2019-10-23",137,301.7,2019-10-23,"61","Erie Drift Plain","8.1.10","Erie Drift Plain","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"61  Erie Drift Plain","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",42.11245,-79.20303
"51","02-LGEN-3.6","02-LGEN-3.6_2012-07-19",175,309,2012-07-19,"62","North Central Appalachians","5.3.3","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","New York",2,"62  North Central Appalachians","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",42.03114,-78.20525
"52","03-EMIL-5.1","03-EMIL-5.1_2017-06-14",411,611,2017-06-14,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.27785,-78.71185
"53","03-EMIL-5.1","03-EMIL-5.1_2017-08-14",377,628,2017-08-14,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.27785,-78.71185
"54","03-EMIL-5.1","03-EMIL-5.1_2017-10-17",411,536,2017-10-17,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.27785,-78.71185
"55","03-EMIL-5.1","03-EMIL-5.1_2018-06-12",383,687,2018-06-12,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.27785,-78.71185
"56","03-EMIL-5.1","03-EMIL-5.1_2018-08-15",348,584,2018-08-15,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.27785,-78.71185
"57","03-EMIL-5.1","03-EMIL-5.1_2018-10-15",348,477.2,2018-10-15,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.27785,-78.71185
"58","03-EMIL-5.1","03-EMIL-5.1_2019-04-17",465,814,2019-04-17,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.27785,-78.71185
"59","03-EMIL-5.1","03-EMIL-5.1_2019-06-13",516,878,2019-06-13,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.27785,-78.71185
"60","03-EMIL-5.1","03-EMIL-5.1_2019-08-15",371,625,2019-08-15,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.27785,-78.71185
"61","03-EMIL-5.1","03-EMIL-5.1_2019-10-21",470,1343,2019-10-21,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.27785,-78.71185
"62","03-NRUP-3.1","03-NRUP-3.1_2017-06-13",407,695,2017-06-13,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.254,-77.742
"63","03-NRUP-3.1","03-NRUP-3.1_2017-08-14",396,574,2017-08-14,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.254,-77.742
"64","03-NRUP-3.1","03-NRUP-3.1_2017-10-16",369,638,2017-10-16,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.254,-77.742
"65","03-NRUP-3.1","03-NRUP-3.1_2018-04-18",390,719.8,2018-04-18,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.254,-77.742
"66","03-NRUP-3.1","03-NRUP-3.1_2018-06-11",383,671,2018-06-11,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.254,-77.742
"67","03-NRUP-3.1","03-NRUP-3.1_2018-10-16",392,661.8,2018-10-16,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.254,-77.742
"68","03-NRUP-3.1","03-NRUP-3.1_2019-04-16",534,941,2019-04-16,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.254,-77.742
"69","03-NRUP-3.1","03-NRUP-3.1_2019-06-11",392,706,2019-06-11,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.254,-77.742
"70","03-NRUP-3.1","03-NRUP-3.1_2019-10-21",385,639,2019-10-21,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.254,-77.742
