"LAKE_HISTORY_ID","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE"
"1701POX0787",-72.2854,40.944698
"1701PRO0009",-73.969902,40.6549
"1701REE0763",-71.910103,41.078098
"1701SWA0570",-72.793098,40.902199
"1701UPP0856",-72.936996,40.843102
"1701UWB0943",-73.329399,40.696701
"1701WES0890",-73.027901,40.7644
"1701WMI0850",-72.834801,40.808201
"1702ALLXXX1",-74.102585,40.638178
"1702BEA0150A",-73.565498,40.885101
"1702BRY1106",-73.691399,41.168201
"1702CLO1074",-74.107597,40.616798
"1702DOS0145",-73.6278,40.896
"1702GLE1070",-73.801201,40.918999
"1702GRA1055",-73.847504,40.9781
"1702GRE0378",-72.454399,41.066799
"1702IND5821",-73.894096,40.838299
"1702KIS0076",-73.805496,40.7481
"1702LEE0122C",-73.700996,40.8134
"1702MEA0100A",-73.841103,40.735298
"1702MIL0125",-73.699203,40.836601
"1702MIL0156",-73.5401,40.873001
"1702MIL0296",-73.194397,40.847099
"1702NEW0292",-73.219704,40.840198
"1702OAK0107",-73.759598,40.758598
"1702OHR1069B",-74.123901,40.588798
"1702PAI1082",-73.790703,40.9356
"1702PEL1072",-73.8135,40.9132
"1702RE11075",-73.802399,40.957901
"1702SHE1087",-73.774498,40.9524
"1702UWB0105",-73.7649,40.771099
"1702UWB0159",-73.459,40.849899
"1702UWB0340A",-73.1157,40.946201
"1702UWB5331",-73.808255,40.770707
"1702WHI0122",-73.704598,40.787498
"1702WIL0100B",-73.833198,40.723499
"1702WIL1063A",-74.157898,40.605598
